,firstName,middleName,lastName,serviceAddress
0,Patrick,R,Murray,"{'line1': '200 425 - 1st Street SW', 'city': 'Calgary', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 3L8', 'countryCode': 'CA', 'countryName': 'Canada'}"
1,Susan,P.,Larson,"{'line1': '10201 Jasper Avenue', 'city': 'Edmonton', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T5J 3N7', 'countryCode': 'CA', 'countryName': 'Canada'}"
2,Dean,C.,Patry,"{'line1': '200, 425 - 1st Street SW', 'city': 'Calgary', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 3L8', 'countryCode': 'CA', 'countryName': 'Canada'}"
