,firstName,middleName,lastName,serviceAddress
0,Robert,J.,Jozwiak,"{'line1': '500 Consumers Road', 'city': 'North York', 'subdivisionCode': 'ON', 'subdivisionName': 'Ontario', 'postalCode': 'M2J 1P8', 'countryCode': 'CA', 'countryName': 'Canada'}"
1,Patrick,R.,Murray,"{'line1': '200, 425 - 1st Street SW', 'city': 'Calgary', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 3L8', 'countryCode': 'CA', 'countryName': 'Canada'}"
2,Dean,C.,Patry,"{'line1': '200, 425 - 1st Street SW', 'city': 'Calgary', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 3L8', 'countryCode': 'CA', 'countryName': 'Canada'}"
