,firstName,middleName,lastName,serviceAddress
0,Greg,L.,Ebel,"{'line1': 'c/o 425 1st Street S.W., Suite 200', 'city': 'Calgary', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 3L8', 'countryCode': 'CA', 'countryName': 'Canada'}"
1,Al,,Monaco,"{'line1': '425 1st Street S.W., Suite 200', 'city': 'CALGARY', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 3L8', 'countryCode': 'CA', 'countryName': 'Canada'}"
2,Teresa,S.,Madden,"{'line1': 'c/o 425 - 1st Street S.W., Suite 200', 'city': 'Calgary', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 3L8', 'countryCode': 'CA', 'countryName': 'Canada'}"
3,Pamela,L.,Carter,"{'line1': 'c/o 425 1st Street S.W., Suite 200', 'city': 'Calgary', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 3L8', 'countryCode': 'CA', 'countryName': 'Canada'}"
4,Susan,M.,Cunningham,"{'line1': 'c/o 425 - 1st Street S.W., Suite 200', 'city': 'Calgary', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 3L8', 'countryCode': 'CA', 'countryName': 'Canada'}"
5,Mike,M.,Ashar,"{'line1': 'c/o  425 - 1st Street S.W., Suite 200', 'city': 'Calgary', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 3L8', 'countryCode': 'CA', 'countryName': 'Canada'}"
6,Stephen,S.,Poloz,"{'line1': 'c/o 425 1st Street S.W.', 'line2': 'Suite 200', 'city': 'Calgary', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 3L8', 'countryCode': 'CA', 'countryName': 'Canada'}"
7,Jason,B.,Few,"{'line1': 'c/o 425 - 1st Street S.W., Suite 200', 'city': 'Calgary', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 3L8', 'countryCode': 'CA', 'countryName': 'Canada'}"
8,Sarah,Jane,Rowe,"{'line1': 'c/o 425 1st Street S.W. Suite 200', 'city': 'Calgary', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 3L8', 'countryCode': 'CA', 'countryName': 'Canada'}"
9,Steven,W.,Williams,"{'line1': 'c/o 425 - 1st Street S.W., Suite 200', 'city': 'Calgary', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 3L8', 'countryCode': 'CA', 'countryName': 'Canada'}"
10,Gaurdie,E.,Banister,"{'line1': 'c/o 425 1st Street S.W., Suite 200', 'city': 'Calgary', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 3L8', 'countryCode': 'CA', 'countryName': 'Canada'}"
11,DAN,C.,TUTCHER,"{'line1': 'C/o 425 1st Street S.W., Suite 200', 'city': 'Calgary', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 3L8', 'countryCode': 'CA', 'countryName': 'Canada'}"
