,firstName,middleName,lastName,serviceAddress
0,George,E.,Lafond,"{'line1': '25 York Street, Suite 800', 'city': 'Toronto', 'subdivisionCode': 'ON', 'subdivisionName': 'Ontario', 'postalCode': 'M5J 2V5', 'countryCode': 'CA', 'countryName': 'Canada'}"
1,Stephen,A.,Lang,"{'line1': '25 York Street, Suite 800', 'city': 'Toronto', 'subdivisionCode': 'ON', 'subdivisionName': 'Ontario', 'postalCode': 'M5J 2V5', 'countryCode': 'CA', 'countryName': 'Canada'}"
2,Sarah,,Kavanagh,"{'line1': '25 York Street, Suite 800', 'city': 'Toronto', 'subdivisionCode': 'ON', 'subdivisionName': 'Ontario', 'postalCode': 'M5J 2V5', 'countryCode': 'CA', 'countryName': 'Canada'}"
3,Colin,,Osborne,"{'line1': '25 York Street, Suite 800', 'city': 'Toronto', 'subdivisionCode': 'ON', 'subdivisionName': 'Ontario', 'postalCode': 'M5J 2V5', 'countryCode': 'CA', 'countryName': 'Canada'}"
4,Carol,T.,Banducci,"{'line1': '25 York Street, Suite 800', 'city': 'Toronto', 'subdivisionCode': 'ON', 'subdivisionName': 'Ontario', 'postalCode': 'M5J 2V5', 'countryCode': 'CA', 'countryName': 'Canada'}"
5,Daniel,Muniz,Quintanilla,"{'line1': '25 York Street, Suite 800', 'city': 'Toronto', 'subdivisionCode': 'ON', 'subdivisionName': 'Ontario', 'postalCode': 'M5J 1V5', 'countryCode': 'CA', 'countryName': 'Canada'}"
6,Igor,,Gonzales,"{'line1': '25 York Street, Suite 800', 'city': 'Toronto', 'subdivisionCode': 'ON', 'subdivisionName': 'Ontario', 'postalCode': 'M5J 2V5', 'countryCode': 'CA', 'countryName': 'Canada'}"
7,Carin,S.,Knickel,"{'line1': '25 York Street, Suite 800', 'city': 'Toronto', 'subdivisionCode': 'ON', 'subdivisionName': 'Ontario', 'postalCode': 'M5J 2V5', 'countryCode': 'CA', 'countryName': 'Canada'}"
8,Richard,,Howes,"{'line1': '25 York Street, Suite 800', 'city': 'Toronto', 'subdivisionCode': 'ON', 'subdivisionName': 'Ontario', 'postalCode': 'M5J 2V5', 'countryCode': 'CA', 'countryName': 'Canada'}"
9,David,,Smith,"{'line1': '25 York Street, Suite 800', 'city': 'Toronto', 'subdivisionCode': 'ON', 'subdivisionName': 'Ontario', 'postalCode': 'M5J 2V5', 'countryCode': 'CA', 'countryName': 'Canada'}"
10,Peter,,Kukielski,"{'line1': '25 York Street, Suite 800', 'city': 'Toronto', 'subdivisionCode': 'ON', 'subdivisionName': 'Ontario', 'postalCode': 'M5J 2V5', 'countryCode': 'CA', 'countryName': 'Canada'}"
