,firstName,middleName,lastName,serviceAddress
0,Benjamin,Prem,Watsa,"{'line1': '95 Wellington Street West, Suite 800', 'city': 'Toronto', 'subdivisionCode': 'ON', 'subdivisionName': 'Ontario', 'postalCode': 'M5J 2N7', 'countryCode': 'CA', 'countryName': 'Canada'}"
1,Robert,William,McFarland,"{'line1': '95 Wellington Street West, Suite 800', 'city': 'Toronto', 'subdivisionCode': 'ON', 'subdivisionName': 'Ontario', 'postalCode': 'M5J 2N7', 'countryCode': 'CA', 'countryName': 'Canada'}"
2,Timothy,,Price,"{'line1': '95 Wellington Street West, Suite 800', 'city': 'Toronto', 'subdivisionCode': 'ON', 'subdivisionName': 'Ontario', 'postalCode': 'M5J 2N7', 'countryCode': 'CA', 'countryName': 'Canada'}"
3,Christine,N.,McLean,"{'line1': '95 Wellington Street West, Suite 800', 'city': 'Toronto', 'subdivisionCode': 'ON', 'subdivisionName': 'Ontario', 'postalCode': 'M5J 2N7', 'countryCode': 'CA', 'countryName': 'Canada'}"
4,Karen,,Jurjevich,"{'line1': '95 Wellington Street West, Suite 800', 'city': 'Toronto', 'subdivisionCode': 'ON', 'subdivisionName': 'Ontario', 'postalCode': 'M5J 2N7', 'countryCode': 'CA', 'countryName': 'Canada'}"
5,V.,Prem,Watsa,"{'line1': '95 Wellington Street West, Suite 800', 'city': 'Toronto', 'subdivisionCode': 'ON', 'subdivisionName': 'Ontario', 'postalCode': 'M5J 2N7', 'countryCode': 'CA', 'countryName': 'Canada'}"
6,Robert,J.,Gunn,"{'line1': '95 Wellington Street West, Suite 800', 'city': 'Toronto', 'subdivisionCode': 'ON', 'subdivisionName': 'Ontario', 'postalCode': 'M5J 2N7', 'countryCode': 'CA', 'countryName': 'Canada'}"
7,Brandon,W.,Sweitzer,"{'line1': '95 Wellington Street West, Suite 800', 'city': 'Toronto', 'subdivisionCode': 'ON', 'subdivisionName': 'Ontario', 'postalCode': 'M5J 2N7', 'countryCode': 'CA', 'countryName': 'Canada'}"
8,Lauren,,Templeton,"{'line1': '95 Wellington Street West, Suite 800', 'city': 'Toronto', 'subdivisionCode': 'ON', 'subdivisionName': 'Ontario', 'postalCode': 'M5J 2N7', 'countryCode': 'CA', 'countryName': 'Canada'}"
9,William,C.,Weldon,"{'line1': '95 Wellington Street West, Suite 800', 'city': 'Toronto', 'subdivisionCode': 'ON', 'subdivisionName': 'Ontario', 'postalCode': 'M5J 2N7', 'countryCode': 'CA', 'countryName': 'Canada'}"
10,David,L.,Johnston,"{'line1': '95 Wellington Street West, Suite 800', 'city': 'Toronto', 'subdivisionCode': 'ON', 'subdivisionName': 'Ontario', 'postalCode': 'M5J 2N7', 'countryCode': 'CA', 'countryName': 'Canada'}"
