,firstName,middleName,lastName,serviceAddress
0,DAVID,F.,DENISON,"{'line1': '1 Carrefour Alexander-Graham-Bell, A-7', 'city': 'Verdun', 'subdivisionCode': 'QC', 'subdivisionName': 'Quebec', 'postalCode': 'H3E 3B3', 'countryCode': 'CA', 'countryName': 'Canada'}"
1,ROBERT,,SIMMONDS,"{'line1': '1 Carrefour Alexander-Graham-Bell, A-7', 'city': 'Verdun', 'subdivisionCode': 'QC', 'subdivisionName': 'Quebec', 'postalCode': 'H3E 3B3', 'countryCode': 'CA', 'countryName': 'Canada'}"
2,Jennifer,A.,Tory,"{'line1': '1 Carrefour Alexander-Graham-Bell, A-7', 'city': 'Verdun', 'subdivisionCode': 'QC', 'subdivisionName': 'Quebec', 'postalCode': 'H3E 3B3', 'countryCode': 'CA', 'countryName': 'Canada'}"
3,Cornell,C.V.,Wright,"{'line1': '1 Carrefour Alexander-Graham-Bell, A-7', 'city': 'Verdun', 'subdivisionCode': 'QC', 'subdivisionName': 'Quebec', 'postalCode': 'H3E 3B3', 'countryCode': 'CA', 'countryName': 'Canada'}"
4,Gordon,M.,Nixon,"{'line1': '1 Carrefour Alexander-Graham-Bell', 'line2': 'A-7', 'city': 'Verdun', 'subdivisionCode': 'QC', 'subdivisionName': 'Quebec', 'postalCode': 'H3E 3B3', 'countryCode': 'CA', 'countryName': 'Canada'}"
5,Robert,P.,Dexter,"{'line1': '1 Carrefour Alexander-Graham-Bell', 'line2': 'A-7', 'city': 'Verdun', 'subdivisionCode': 'QC', 'subdivisionName': 'Quebec', 'postalCode': 'H3E 3B3', 'countryCode': 'CA', 'countryName': 'Canada'}"
6,Katherine,Min Sun,Lee,"{'line1': '1 Carrefour Alexander-Graham-Bell', 'line2': 'A-7', 'city': 'Verdun', 'subdivisionCode': 'QC', 'subdivisionName': 'Quebec', 'postalCode': 'H3E 3B3', 'countryCode': 'CA', 'countryName': 'Canada'}"
7,Mirko,,Bibic,"{'line1': '1 Carrefour Alexander-Graham-Bell, A-7', 'city': 'Verdun', 'subdivisionCode': 'QC', 'subdivisionName': 'Quebec', 'postalCode': 'H3E 3B3', 'countryCode': 'CA', 'countryName': 'Canada'}"
8,Sheila,A.,Murray,"{'line1': '1 Carrefour Alexander-Graham-Bell, A-7', 'city': 'Verdun', 'subdivisionCode': 'QC', 'subdivisionName': 'Quebec', 'postalCode': 'H3E 3B3', 'countryCode': 'CA', 'countryName': 'Canada'}"
9,Louis,P.,Pagnutti,"{'line1': '1 Carrefour Alexander-Graham-Bell, A-7', 'city': 'Verdun', 'subdivisionCode': 'QC', 'subdivisionName': 'Quebec', 'postalCode': 'H3E 3B3', 'countryCode': 'CA', 'countryName': 'Canada'}"
10,Louis,,Vachon,"{'line1': '1 carrefour, Alexander-Graham-Bell, A-7', 'city': 'Verdun', 'subdivisionCode': 'QC', 'subdivisionName': 'Quebec', 'postalCode': 'H3E 3B3', 'countryCode': 'CA', 'countryName': 'Canada'}"
11,Calin,,Rovinescu,"{'line1': '1 Carrefour Alexander-Graham-Bell', 'line2': 'A-7', 'city': 'Verdun', 'subdivisionCode': 'QC', 'subdivisionName': 'Quebec', 'postalCode': 'H3E 3B3', 'countryCode': 'CA', 'countryName': 'Canada'}"
12,Monique,F.,Leroux,"{'line1': '1 Carrefour Alexander-Graham-Bell', 'line2': 'A-7', 'city': 'Verdun', 'subdivisionCode': 'QC', 'subdivisionName': 'Quebec', 'postalCode': 'H3E 3B3', 'countryCode': 'CA', 'countryName': 'Canada'}"
13,Karen,,Sheriff,"{'line1': '1 Carrefour Alexander-Graham-Bell', 'line2': 'A-7', 'city': 'Verdun', 'subdivisionCode': 'QC', 'subdivisionName': 'Quebec', 'postalCode': 'H3E 3B3', 'countryCode': 'CA', 'countryName': 'Canada'}"
