,firstName,middleName,lastName,serviceAddress
0,Patrick,R.,Murray,"{'line1': '200, 425 - 1ST STREET S.W.', 'city': 'CALGARY', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 3L8', 'countryCode': 'CA', 'countryName': 'Canada'}"
1,Brian,S.,Johnson,"{'line1': '200, 425 1ST STREET S.W.', 'city': 'CALGARY', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 3L8', 'countryCode': 'CA', 'countryName': 'Canada'}"
2,Brad,,Swift,"{'line1': '200, 425 - 1ST STREET S.W.', 'city': 'CALGARY', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 3L8', 'countryCode': 'CA', 'countryName': 'Canada'}"
