,firstName,middleName,lastName,serviceAddress
0,Brian,P.,MacDonald,"{'line1': '150 6 Avenue Southwest', 'city': 'Calgary', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 3E3', 'countryCode': 'CA', 'countryName': 'Canada'}"
1,Russell,,Girling,"{'line1': '150 6 Avenue Southwest', 'city': 'Calgary', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 3Y7', 'countryCode': 'CA', 'countryName': 'Canada'}"
2,IAN,,ASHBY,"{'line1': '150 - 6 AVENUE S.W.', 'city': 'CALGARY', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 3E3', 'countryCode': 'CA', 'countryName': 'Canada'}"
3,Mary,Jacqueline,SHEPPARD,"{'line1': '150 - 6 AVENUE S.W.', 'city': 'CALGARY', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 3E3', 'countryCode': 'CA', 'countryName': 'Canada'}"
4,CHRISTOPHER,,SEASONS,"{'line1': '150 6 Avenue Southwest', 'city': 'Calgary', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 3E3', 'countryCode': 'CA', 'countryName': 'Canada'}"
5,Jean,Paul,Gladu,"{'line1': '150 - 6th Avenue S.W.', 'city': 'Calgary', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 3E3', 'countryCode': 'CA', 'countryName': 'Canada'}"
6,Lorraine,,Mitchelmore,"{'line1': '150 - 6 Avenue S.W.', 'city': 'Calgary', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 3E3', 'countryCode': 'CA', 'countryName': 'Canada'}"
7,Patricia,M.,Bedient,"{'line1': '150 - 6th Avenue S.W.', 'city': 'Calgary', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 3E3', 'countryCode': 'CA', 'countryName': 'Canada'}"
8,Eira,M.,Thomas,"{'line1': '150 - 6th Avenue S.W.', 'city': 'Calgary', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 3E3', 'countryCode': 'CA', 'countryName': 'Canada'}"
9,Michael,M.,Wilson,"{'line1': '150 - 6th Avenue S.W.', 'city': 'Calgary', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 3E3', 'countryCode': 'CA', 'countryName': 'Canada'}"
10,Maureen,,McCaw,"{'line1': '150 - 6th Avenue S.W.', 'city': 'Calgary', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 3E3', 'countryCode': 'CA', 'countryName': 'Canada'}"
11,John,D.,Gass,"{'line1': '150 - 6th Avenue S.W.', 'city': 'Calgary', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 3E3', 'countryCode': 'CA', 'countryName': 'Canada'}"
12,Dennis,,Houston,"{'line1': '150 6 Avenue Southwest', 'city': 'Calgary', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 3E3', 'countryCode': 'CA', 'countryName': 'Canada'}"
